Data e Hora;Nome do Usuário;Nível;idOperação;Descrição do Log;idUsuario;idLog
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9901457 VINCULADA A CARGA ID: 166466;874;119746734
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9899158 VINCULADA A CARGA ID: 166466;874;119746740
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914498 VINCULADA A CARGA ID: 166466;874;119745104
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914819 VINCULADA A CARGA ID: 166466;874;119745157
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9912855 VINCULADA A CARGA ID: 166466;874;119745297
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9903484 VINCULADA A CARGA ID: 166466;874;119745321
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9913551 VINCULADA A CARGA ID: 166466;874;119745331
23/05/2026 09:04;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914765 VINCULADA A CARGA ID: 166466;874;119745371
23/05/2026 09:04;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9913357 VINCULADA A CARGA ID: 166466;874;119745404
23/05/2026 09:06;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9881220 VINCULADA A CARGA ID: 166466;874;119746022
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9915247 VINCULADA A CARGA ID: 166466;874;119746104
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9913052 VINCULADA A CARGA ID: 166466;874;119746126
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9903635 VINCULADA A CARGA ID: 166466;874;119746165
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9901936 VINCULADA A CARGA ID: 166466;874;119746192
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9900158 VINCULADA A CARGA ID: 166466;874;119746205
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9915115 VINCULADA A CARGA ID: 166466;874;119746233
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9876033 VINCULADA A CARGA ID: 166466;874;119746241
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9881804 VINCULADA A CARGA ID: 166466;874;119746294
